Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
d0816467-76a3-4485-8f27-01a2ea9e0d72,2017-05-29 19:14:02,Running,,4.87,31:45,6:31,9.20,390.0,108,,"","",2017-05-29-191402.gpx
10bc343e-1afd-4b8b-a286-c8484db71897,2017-05-25 14:28:40,Running,,10.00,58:33,5:51,10.25,762.0,55,,"","",2017-05-25-142840.gpx
20185163-a64e-46ca-be7f-258d037907a9,2017-05-24 17:44:11,Running,,4.91,31:29,6:25,9.36,391.0,111,,"","",2017-05-24-174411.gpx
f8a39982-2599-4d6f-a68f-1d657f91cb40,2017-05-09 18:27:09,Running,,1.63,7:57,4:52,12.33,131.0,37,,"","",2017-05-09-182709.gpx
38ea451f-c924-438d-bae7-2da48c367956,2017-04-27 19:02:17,Running,,3.71,23:26,6:19,9.50,299.0,84,,"","",2017-04-27-190217.gpx
34db559c-5d20-419e-b8cc-8835bc40d1e1,2017-04-23 17:35:52,Running,,3.68,23:45,6:28,9.29,296.0,85,,"","",2017-04-23-173552.gpx
c9066fda-a950-4ba1-a972-dc1b2f643667,2017-04-11 18:25:29,Running,,3.70,23:20,6:19,9.51,298.0,84,,"","",2017-04-11-182529.gpx
fade0afa-f7c0-47af-9fd3-c1ba764f361d,2017-04-10 17:03:24,Running,,2.72,16:44,6:09,9.74,215.0,44,,"","",2017-04-10-170324.gpx
5fd673f4-f247-4fc9-a961-aa86be6b28ed,2017-03-28 19:01:25,Running,,3.71,22:04,5:57,10.09,303.0,86,,"","",2017-03-28-190125.gpx
09a0470d-18bf-42c6-99d0-ccee693ce84c,2017-03-23 19:12:26,Running,,3.68,22:45,6:11,9.70,269.0,2,,"","",2017-03-23-191226.gpx
c2d4390f-3f39-408d-929e-f710f3db0359,2017-03-21 19:33:56,Running,,3.72,23:47,6:23,9.40,301.0,85,,"","",2017-03-21-193356.gpx
a6894879-9188-4528-8a49-25f4217f2fc9,2017-03-16 18:29:32,Running,,3.71,23:24,6:19,9.51,274.0,7,,"","",2017-03-16-182932.gpx
5867aed1-d362-4195-90f3-e486f1a17daf,2017-03-13 18:36:33,Running,,1.55,8:59,5:48,10.34,130.0,41,,"","",2017-03-13-183633.gpx
37cc4b0c-ff28-447c-973c-c6f65a0a2404,2017-02-26 15:16:56,Running,,3.03,20:17,6:42,8.95,246.0,79,,"","",2017-02-26-151656.gpx
640c657c-5110-4f33-921e-f6d02919b0ee,2017-01-22 18:23:31,Running,,3.75,24:46,6:36,9.08,307.0,108,,"","",2017-01-22-182331.gpx
90806f40-5db8-4258-8e23-2c7629cd756f,2017-01-09 18:28:29,Running,,3.74,24:51,6:39,9.02,304.0,104,,"","",2017-01-09-182829.gpx
481c8cad-af41-439b-afd9-b6beaf913c38,2017-01-08 17:14:57,Running,,3.71,25:46,6:56,8.65,300.0,104,,"","",2017-01-08-171457.gpx
1ff1e118-06a8-4faa-8c9a-ddfdb7a77dc2,2017-01-03 19:19:57,Running,,3.75,25:41,6:51,8.75,303.0,108,,"","",2017-01-03-191957.gpx
503af912-8689-43f6-9f2e-c431f5d25b46,2016-12-30 17:55:47,Running,,3.72,25:31,6:52,8.74,300.0,104,,"","",2016-12-30-175547.gpx
7fbe65eb-36da-4af5-b898-35f541880b1a,2016-12-29 18:12:35,Walking,,4.18,53:09,12:42,4.72,249.0,119,,"","",2016-12-29-181235.gpx
a71b5789-86c3-43c2-ad27-16ead252f554,2016-10-27 18:01:33,Running,,3.02,17:39,5:51,10.27,227.0,13,,"","",2016-10-27-180133.gpx
532740ba-db2c-4fd8-b3d1-1ae824aa4c74,2016-10-24 18:19:09,Running,,6.47,38:56,6:01,9.98,484.0,19,,"","",2016-10-24-181909.gpx
94547da8-9410-4a31-8add-6a9df5301245,2016-10-20 17:59:55,Running,,6.51,39:23,6:03,9.91,490.0,24,,"","",2016-10-20-175955.gpx
dfb01ecd-c078-490c-a67e-d74a438cd752,2016-10-17 17:15:08,Running,,6.51,38:43,5:57,10.08,492.0,24,,"","",2016-10-17-171508.gpx
776da3ed-8c26-457a-a8d4-1af6c372d3ac,2016-10-15 18:04:37,Running,,6.45,40:04,6:13,9.66,483.0,22,,"","",2016-10-15-180437.gpx
5d63b959-bece-484e-881a-89b2c64c4d91,2016-10-10 16:22:50,Running,,3.04,17:16,5:41,10.57,239.0,40,,"","",2016-10-10-162250.gpx
0267a7c3-38d1-45fc-b485-0bc663b9bd6f,2016-10-06 18:06:19,Running,,2.06,10:19,5:00,11.98,160.0,19,,"","",2016-10-06-180619.gpx
548ffaa3-10cc-4c64-bdf7-ab0ee3641357,2016-10-04 17:15:33,Running,,6.51,38:34,5:55,10.13,491.0,23,,"","",2016-10-04-171533.gpx
f69d3c32-3d03-4c9d-b895-ae12454d9809,2016-10-02 18:06:02,Running,,6.47,40:30,6:15,9.59,486.0,22,,"","",2016-10-02-180602.gpx
d433abdf-f441-4f85-ac2f-5f11598ffafb,2016-09-30 18:59:31,Running,,2.07,10:35,5:06,11.75,162.0,19,,"","",2016-09-30-185931.gpx
122947d1-955b-4e2d-9cda-581c2f1b2c5f,2016-09-27 15:34:02,Running,,2.08,10:12,4:54,12.25,161.0,19,,"","",2016-09-27-153402.gpx
106b94a3-a751-42fa-9fdf-9de8a95afee0,2016-09-25 17:38:23,Running,,6.35,39:53,6:17,9.55,472.0,23,,"","",2016-09-25-173823.gpx
06295ddb-9e27-4adb-b4fe-4506ab1b1873,2016-09-14 17:43:15,Running,,6.30,37:18,5:55,10.13,467.0,17,,"","",2016-09-14-174315.gpx
26cefc13-e337-430c-b0f3-eb66178a8a53,2016-09-12 17:58:44,Running,,6.20,37:16,6:01,9.98,478.0,68,,"","",2016-09-12-175844.gpx
1ba76177-014f-4c53-8df6-d1bf739ee369,2016-09-07 17:00:13,Running,,6.30,38:55,6:11,9.71,469.0,25,,"","",2016-09-07-170013.gpx
5bd9fb76-0bdb-4556-ade7-d8cf92ebb4d7,2016-09-05 19:49:55,Running,,6.29,38:14,6:05,9.87,464.0,19,,"","",2016-09-05-194955.gpx
e2c2fdff-83b8-4d9c-ac97-694b85a8aeed,2016-09-01 16:29:03,Running,,6.26,39:41,6:20,9.47,464.0,19,,"","",2016-09-01-162903.gpx
bf3f4bbd-7f6a-4473-adcd-c00a9ba2de33,2016-08-30 19:32:54,Running,,6.32,39:13,6:13,9.66,469.0,22,,"","",2016-08-30-193254.gpx
9dab1b67-ff2a-4259-b227-e354f67ebc88,2016-08-28 16:35:11,Running,,6.28,38:21,6:06,9.83,484.0,70,,"","",2016-08-28-163511.gpx
ea723e59-116a-4a6b-adc0-3327b645f6fc,2016-08-24 19:22:45,Running,,6.25,38:02,6:05,9.85,463.0,15,,"","",2016-08-24-192245.gpx
d2ce3cc6-a4df-48b8-b776-b6aa7e08e4e9,2016-08-22 17:48:43,Running,,6.25,37:11,5:57,10.08,480.0,73,,"","",2016-08-22-174843.gpx
ff21606a-bb4a-4736-b947-eceead67ec24,2016-08-20 19:27:13,Running,,3.12,18:00,5:47,10.39,238.0,23,,"","",2016-08-20-192713.gpx
46d267bd-4561-4a69-bc85-b2cf37841869,2016-08-19 21:04:58,Running,,6.29,39:51,6:20,9.47,460.0,24,,"","",2016-08-19-210458.gpx
556a6683-a57d-4dd8-be69-4b7254954fa8,2016-08-17 19:02:41,Running,,6.27,37:49,6:02,9.96,467.0,22,,"","",2016-08-17-190241.gpx
338242d3-a6e8-4d3e-8f85-9d95310070c0,2016-08-15 17:58:55,Running,,6.30,40:14,6:23,9.40,466.0,18,,"","",2016-08-15-175855.gpx
b4f87925-ee7b-43d9-bd76-0ec79a1e7418,2016-08-10 14:56:18,Running,,6.25,37:26,5:59,10.02,476.0,73,,"","",2016-08-10-145618.gpx
1dda148a-d0f6-4a24-89e2-e1333c60e1be,2016-08-08 16:34:10,Running,,6.23,38:29,6:10,9.72,458.0,16,,"","",2016-08-08-163410.gpx
c92cab65-e979-4b19-9f85-b6c1b4e52bda,2016-08-03 17:25:20,Running,,6.29,40:22,6:25,9.35,462.0,17,,"","",2016-08-03-172520.gpx
deb24678-7f9f-4a41-b595-ba782e14531b,2016-08-01 18:46:34,Running,,6.29,37:06,5:54,10.17,469.0,23,,"","",2016-08-01-184634.gpx
d8e7e72e-d2f0-47cb-9f4b-8add06b85a4f,2016-07-27 19:26:16,Running,,6.25,38:06,6:06,9.84,463.0,25,,"","",2016-07-27-192616.gpx
